date,sales
2019-05-16,15329
2019-05-17,15458
2019-05-18,15207
2019-05-19,15662
2019-05-20,15782
2019-05-21,15512
2019-05-22,15295
2019-05-23,15611
2019-05-24,15516
2019-05-25,15696
2019-05-26,15399
2019-05-27,15446
2019-05-28,15331
2019-05-29,15618
2019-05-30,15502
2019-05-31,15431
2019-06-01,15275
2019-06-02,15218
2019-06-03,15582
2019-06-04,15206
2019-06-05,15248
2019-06-06,15180
2019-06-07,15397
2019-06-08,15432
2019-06-09,15566
2019-06-10,15170
